Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
45;"331,2536792";"290,0827468";"255,8769235";"239,6434852";"232,5510697";"288,646843";"276,5393281";"244,761108";"212,6405418";"311,6424233";"291,9126582";"259,9884613";"234,9829781";"332,0391543";"317,8002517";"294,1513216";"278,5390457";"352,3308105";"342,023391";"329,2476272";"320,7397699"
45;"314,2244421";"273,0750813";"242,7591399";"229,4013949";"227,844245";"276,3494165";"262,3928353";"230,5666932";"200,5916249";"301,8377047";"279,6926885";"248,5678982";"222,9910312";"322,5600719";"306,1502899";"284,0035211";"269,1189328";"344,0058139";"334,5100895";"320,4122345";"310,4979871"
46;"303,9161068";"258,4434174";"227,9056822";"216,2614159";"217,0829335";"267,6863837";"265,5729655";"242,3324163";"222,0090088";"292,6055365";"278,9265136";"250,7688178";"228,5694643";"312,0785158";"298,886266";"279,5460606";"266,0920893";"331,8101867";"322,5600719";"308,2888256";"297,677678"
46;"293,4706118";"251,1433853";"222,5511177";"213,5158074";"214,0373799";"254,1180828";"258,1937257";"238,6650372";"217,5247112";"277,9820138";"275,7698316";"250,2818411";"227,0352396";"298,9331029";"294,7354746";"275,8550344";"259,3318338";"318,2860349";"315,9905062";"302,887768";"289,2006224"
47;"269,3287953";"244,6630336";"231,7671245";"225,7631502";"220,1930971";"239,2509143";"224,6152266";"194,9974359";"166,0271062";"257,4742706";"241,7540072";"211,2865353";"181,0414317";"277,3950252";"270,2369331";"251,3344385";"233,4609175";"296,1080884";"296,5029511";"288,1700887";"275,436018"
48;"267,0748959";"239,7102418";"224,1093483";"215,2301094";"205,7304061";"234,3032223";"213,7709054";"183,7416665";"154,4959546";"253,3081128";"230,633909";"199,9049774";"169,097605";"272,91757";"256,7041098";"237,5415753";"220,1454065";"290,4083332";"279,8463864";"269,584866";"258,8010819"
48;"263,7877935";"218,9086567";"196,7256974";"187,7471704";"185,15399";"230,0195644";"217,2648154";"201,0198995";"187,1710448";"253,5527559";"230,0782476";"205,9368835";"187,4166481";"276,8104044";"252,4381112";"232,0193957";"214,8883431";"296,0219586";"273,4812608";"252,9604712";"236,7994932"
49;"258,3795658";"210,1547049";"184,0244549";"173,2541486";"168,4666139";"222,8115796";"203,0812645";"186,2713075";"173,0028901";"247,1639132";"215,0813799";"187,9707424";"172,6759972";"269,6145397";"238,4722206";"215,35552";"200,7710138";"286,8030683";"259,8807419";"239,7707238";"226,1194375"
49;"7,211102551";"7,211102551";"7,211102551";"3,605551275";"5,099019514";"5,830951895";"7,810249676";"10,44030651";11;5;"9,848857802";"8,94427191";"8,544003745";"5,830951895";13;"12,36931688";"11,04536102";"5,830951895";"12,64911064";"11,70469991";"11,40175425"
50;4;5;"6,08276253";"8,544003745";"13,60147051";"7,071067812";"10,81665383";"9,433981132";"12,16552506";"7,615773106";"16,64331698";"15,8113883";"14,2126704";"9,219544457";"17,49285568";"13,41640786";"8,062257748";"9,219544457";15;"13,41640786";"6,32455532"
